customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0A-B,Male,1,Yes,No,6,No,No,No,No internet service,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),20.768591646295867,107.02808953688474,Yes
1A-B,Female,0,Yes,Yes,7,Yes,No phone service,No,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),59.89004046459393,416.99031502025633,No
2A-B,Male,0,No,Yes,10,No,Yes,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,62.1086993349289,601.1394080716124,Yes
3A-B,Female,0,Yes,No,30,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,56.01955142731835,1684.7176887032344,No
4A-B,Male,0,No,No,49,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Credit card (automatic),18.37783686513637,899.8678531255837,No
5A-B,Male,0,Yes,Yes,51,No,No phone service,DSL,No,No,No,Yes,Yes,No internet service,One year,No,Credit card (automatic),78.77523613951601,4002.3386872921383,No
6A-B,Male,1,Yes,Yes,67,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,74.51904524032125,4981.321020606455,Yes
7A-B,Female,1,Yes,Yes,35,No,No phone service,DSL,No internet service,No internet service,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),75.95921622341872,2647.4228345468223,No
8A-B,Male,0,No,Yes,5,No,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),56.99691321285448,291.37542232414785,Yes
9A-B,Female,0,No,No,6,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),45.720174973875565,279.0652165525835,Yes
10A-B,Male,0,No,No,5,No,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Mailed check,110.99822224025048,565.6625268348783,Yes
11A-B,Male,0,No,No,49,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,No,Two year,No,Credit card (automatic),27.909865288517192,1376.4949160434971,No
12A-B,Female,0,Yes,Yes,24,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),47.906014239410474,1158.0334428573208,No
13A-B,Female,1,No,Yes,43,Yes,Yes,No,No,Yes,No,No internet service,No,No,Two year,Yes,Credit card (automatic),54.03234442492249,2323.3040359413226,No
14A-B,Female,0,Yes,No,68,No,No,No,No internet service,No internet service,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),82.72933024118244,5620.07256670018,No
15A-B,Female,1,No,Yes,67,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),68.99852302734452,4600.915272451341,No
16A-B,Female,0,Yes,No,20,No,Yes,No,Yes,No internet service,No,Yes,Yes,Yes,One year,No,Mailed check,93.05793798946118,1869.78495295036,No
17A-B,Male,0,Yes,Yes,61,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,One year,No,Electronic check,42.165395247516244,2591.6423318182674,No
18A-B,Female,0,No,No,13,No,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.3526599279286,454.5008301418781,Yes
19A-B,Female,0,Yes,Yes,33,Yes,No phone service,No,No internet service,No internet service,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),44.97306537681744,1486.4204269280563,No
20A-B,Female,0,Yes,No,69,No,Yes,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,Yes,Electronic check,95.88747133889362,6619.188652563061,Yes
21A-B,Male,0,Yes,Yes,46,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),103.43492944804576,4751.557064136107,No
22A-B,Male,1,No,Yes,18,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,25.301401110181622,465.28659409944015,Yes
23A-B,Female,0,No,No,68,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),56.14212550472011,3812.2805164166657,No
24A-B,Female,0,No,No,58,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),53.71200471131594,3123.9891889533565,No
25A-B,Female,1,Yes,No,65,No,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),25.55607235286024,1669.1997460343048,No
26A-B,Male,1,Yes,No,52,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),48.75487392163508,2546.3697383206977,No
27A-B,Female,0,No,Yes,41,No,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),23.41862212042262,981.866989034872,No
28A-B,Female,0,Yes,No,9,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,39.328336549558216,352.89870229302187,Yes
29A-B,Male,1,No,Yes,3,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.63650366544495,129.49143669005895,Yes
30A-B,Female,0,No,Yes,62,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Electronic check,83.72160254578868,5178.168858302874,Yes
31A-B,Female,0,No,Yes,5,Yes,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),96.86920850832476,475.3681123999304,Yes
32A-B,Male,0,Yes,No,32,No,No,No,No,No,No internet service,No internet service,No,No,Two year,No,Bank transfer (automatic),36.62666549668405,1174.318236773673,No
33A-B,Male,0,Yes,Yes,36,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),114.92135727511648,4149.000686961426,No
34A-B,Female,0,Yes,No ,8,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.58422332870617,386.5661671369983,Yes
35A-B,Male,0,No,Yes,31,No,Yes,No,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,No,Bank transfer (automatic),41.650781241430536,1291.5551841352585,No
36A-B,Male,1,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Electronic check,47.67783418257635,2332.9250527052595,Yes
37A-B,Female,0,No,No,67,No,No,DSL,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Bank transfer (automatic),106.55853101742504,7152.730842028102,No
38A-B,Male,0,Yes,No,23,No,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),38.35342617198472,884.5385086279382,Yes
39A-B,Male,0,No,No,7,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),35.04244859691027,236.3021389946826,No
40A-B,Female,1,No,Yes,54,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),66.61196626372775,3606.724870982314,No
41A-B,Female,0,Yes,No,6,No,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,61.72962737663188,372.98354315524773,Yes
42A-B,Female,0,Yes,No,69,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),82.75458386558282,5713.613175580944,No
43A-B,Male,0,Yes,No,11,No,No phone service,No,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,93.85126944737476,1031.604138986727,Yes
44A-B,Male,0,Yes,Yes,36,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),94.38160463501512,3394.1695896104525,No
45A-B,Male,0,No,No,6,No,No,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.17220484312449,225.2261553651936,Yes
46A-B,Female,0,No,Yes,11,No,No,No,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,112.1961819582845,1247.3331421521148,Yes
47A-B,Male,0,Yes,No,20,No,Yes,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,One year,No,Electronic check,26.378588672271412,512.4451225856263,No
48A-B,Female,0,Yes,Yes,11,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,74.63344568375766,814.7129121774625,No
49A-B,Male,0,No,Yes,56,Yes,No phone service,No,No internet service,No,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,94.18665443269721,5265.304922759004,No
50A-B,Female,1,No,No,26,No,No,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Mailed check,59.80293042757467,1534.4752200473924,No
51A-B,Female,0,Yes,No,11,No,Yes,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,108.01147762816747,1185.9412641457957,Yes
52A-B,Male,1,Yes,No,7,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),115.38791858589231,813.1011048783711,Yes
53A-B,Male,0,Yes,Yes,3,Yes,No,DSL,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,24.021588929988738,80.28028549553923,Yes
54A-B,Male,0,No,Yes,20,Yes,No phone service,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,70.36425000557625,1404.2731942895082,Yes
55A-B,Male,0,Yes,No,5,No,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),104.06994108432875,522.1413747656424,Yes
56A-B,Male,0,Yes,No,11,No,Yes,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Mailed check,64.22778637582573,720.8356854098587,Yes
57A-B,Male,0,Yes,No,4,Yes,Yes,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,68.13785489069582,273.3069423207869,Yes
58A-B,Female,0,No,Yes,8,No,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,115.96664956168111,919.5626315113569,Yes
59A-B,Female,0,Yes,No,62,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No,Two year,Yes,Mailed check,83.09831627550102,5145.287227755922,No
60A-B,Male,0,No,No,2,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,97.05276697555198,191.74561100402218,Yes
61A-B,Female,0,Yes,No,3,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.19323891808028,259.1684619918545,Yes
62A-B,Female,0,No,No,8,No,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,115.72705559384275,911.4386353738109,Yes
63A-B,Female,0,Yes,Yes,4,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),46.44057385282608,178.67330162599896,Yes
